year,amo_mean_tropic
1856,0.20275
1857,0.1605
1858,-0.04475000000000001
1859,0.050833333333333335
1860,0.03566666666666666
1861,0.11033333333333332
1862,0.15191666666666667
1863,-0.16125000000000003
1864,-0.15683333333333332
1865,0.19458333333333336
1866,0.17225
1867,0.2743333333333334
1868,0.10225000000000005
1869,0.13633333333333333
1870,0.051833333333333335
1871,0.064
1872,0.01425
1873,0.14016666666666663
1874,0.024083333333333335
1875,0.008166666666666664
1876,0.012249999999999997
1877,0.07083333333333333
1878,0.3355000000000001
1879,0.3945
1880,0.08191666666666668
1881,0.11874999999999997
1882,-0.04041666666666666
1883,-0.01333333333333333
1884,-0.020166666666666663
1885,-0.06999999999999999
1886,0.062166666666666676
1887,0.05266666666666667
1888,0.21725000000000003
1889,0.22691666666666668
1890,0.09441666666666666
1891,-0.14208333333333334
1892,0.07741666666666668
1893,-0.14100000000000001
1894,-0.03750000000000001
1895,-0.23775
1896,-0.031000000000000003
1897,0.1745
1898,0.06583333333333334
1899,0.05558333333333334
1900,0.18616666666666667
1901,0.09141666666666669
1902,0.01758333333333333
1903,-0.0835
1904,-0.3095833333333333
1905,-0.29800000000000004
1906,-0.1405833333333333
1907,-0.13516666666666668
1908,-0.22366666666666668
1909,-0.09525
1910,-0.18975000000000006
1911,-0.24800000000000008
1912,-0.19291666666666665
1913,-0.2535
1914,-0.40066666666666667
1915,-0.1961666666666667
1916,0.08
1917,-0.16049999999999998
1918,-0.21558333333333332
1919,-0.25858333333333333
1920,-0.28091666666666665
1921,-0.29500000000000004
1922,-0.22675
1923,-0.3606666666666667
1924,-0.22933333333333336
1925,-0.2021666666666667
1926,-0.049833333333333334
1927,0.07983333333333333
1928,0.056916666666666664
1929,-0.0055000000000000005
1930,-0.14075
1931,0.09749999999999999
1932,0.20691666666666667
1933,0.19791666666666666
1934,0.09275000000000001
1935,0.02266666666666667
1936,0.08466666666666667
1937,0.11483333333333334
1938,0.3289166666666667
1939,0.19166666666666665
1940,0.054
1941,0.008333333333333338
1942,0.20858333333333334
1943,0.114
1944,0.13916666666666666
1945,0.34325
1946,0.15075000000000002
1947,-0.08591666666666666
1948,-0.0615
1949,0.04674999999999999
1950,0.03016666666666667
1951,0.016916666666666667
1952,0.23241666666666672
1953,0.29325
1954,0.21025000000000002
1955,0.017
1956,0.18791666666666665
1957,-0.08608333333333335
1958,0.12691666666666668
1959,0.1375
1960,0.07091666666666667
1961,0.21525000000000002
1962,0.08741666666666666
1963,0.05708333333333334
1964,-0.07158333333333333
1965,-0.14433333333333334
1966,-0.133
1967,-8.333333333333456e-05
1968,-0.19266666666666665
1969,-0.08425
1970,-0.043333333333333335
1971,-0.22491666666666665
1972,-0.3478333333333334
1973,-0.36591666666666667
1974,-0.24491666666666667
1975,-0.42275
1976,-0.35975
1977,-0.3333333333333334
1978,-0.16774999999999998
1979,-0.21858333333333332
1980,-0.08324999999999999
1981,-0.05883333333333334
1982,-0.09616666666666664
1983,-0.22175000000000003
1984,-0.11116666666666668
1985,-0.3107499999999999
1986,-0.27275
1987,-0.23616666666666664
1988,0.07516666666666669
1989,-0.09574999999999999
1990,-0.09241666666666666
1991,-0.04150000000000001
1992,-0.15975000000000003
1993,-0.26633333333333337
1994,-0.2545
1995,-0.111
1996,0.10441666666666667
1997,-0.08383333333333333
1998,0.12341666666666666
1999,0.28099999999999997
2000,0.07641666666666667
2001,-0.010833333333333334
2002,0.15033333333333335
2003,0.01625
2004,0.24458333333333335
2005,0.19200000000000003
2006,0.23725
2007,0.2600833333333333
2008,0.09658333333333334
2009,0.04058333333333333
2010,0.13441666666666668
2011,0.28058333333333335
2012,0.04758333333333334
2013,0.2298333333333333
2014,0.07358333333333333
2015,0.0825
2016,0.16941666666666666
2017,0.33025
2018,0.2515833333333333
2019,0.03383333333333333
2020,0.22283333333333333
2021,0.2233333333333333
2022,0.082
