year,dmi_variance_north
1870,0.06830560000000001
1871,0.014456204545454543
1872,0.013136265151515149
1873,0.055757787878787886
1874,0.05598736363636365
1875,0.08416808333333332
1876,0.02033751515151515
1877,0.21862171969696972
1878,0.04044681060606061
1879,0.019279356060606063
1880,0.04267226515151515
1881,0.04054256818181818
1882,0.051569969696969704
1883,0.03479444696969697
1884,0.04757717424242424
1885,0.018498931818181817
1886,0.052250083333333336
1887,0.02498390151515151
1888,0.028330083333333332
1889,0.04732590909090908
1890,0.14197153787878786
1891,0.05234663636363635
1892,0.12250202272727274
1893,0.011303
1894,0.020400696969696968
1895,0.017777424242424244
1896,0.07646960606060606
1897,0.10132626515151517
1898,0.03938135606060606
1899,0.04814335606060605
1900,0.03869190151515151
1901,0.020022992424242426
1902,0.09115662878787877
1903,0.040765272727272726
1904,0.024211719696969693
1905,0.037257901515151515
1906,0.12350838636363637
1907,0.0456528787878788
1908,0.04535917424242424
1909,0.04469878787878787
1910,0.08169354545454546
1911,0.043802060606060615
1912,0.08087753787878788
1913,0.03386644696969697
1914,0.07887715151515153
1915,0.04219547727272727
1916,0.1975329924242424
1917,0.10688444696969697
1918,0.0764139015151515
1919,0.018725333333333337
1920,0.10515256818181816
1921,0.05581535606060605
1922,0.03778899242424241
1923,0.09459409090909089
1924,0.019802628787878793
1925,0.06670099242424242
1926,0.035461515151515154
1927,0.04400787878787878
1928,0.0524908106060606
1929,0.006142992424242422
1930,0.05809529545454544
1931,0.06258147727272727
1932,0.03551563636363637
1933,0.22224754545454548
1934,0.0396558787878788
1935,0.021911295454545454
1936,0.05163462878787879
1937,0.02438044696969697
1938,0.056263356060606055
1939,0.04352347727272727
1940,0.033489901515151514
1941,0.04971844696969697
1942,0.08948675000000002
1943,0.07117481060606061
1944,0.05913924242424244
1945,0.09373820454545453
1946,0.05589262878787879
1947,0.11573309090909092
1948,0.039540878787878785
1949,0.039052363636363635
1950,0.03512808333333334
1951,0.054064083333333346
1952,0.060942083333333334
1953,0.04493026515151515
1954,0.06947965909090908
1955,0.07199402272727273
1956,0.11537424242424242
1957,0.01577826515151515
1958,0.14078536363636363
1959,0.050065356060606046
1960,0.057750606060606065
1961,0.25450517424242425
1962,0.13480136363636364
1963,0.07784487878787881
1964,0.08801747727272727
1965,0.03178184090909091
1966,0.04029418181818181
1967,0.04051787878787879
1968,0.11742
1969,0.03362990909090909
1970,0.1184960227272727
1971,0.1038718409090909
1972,0.09615699242424243
1973,0.10825244696969696
1974,0.12308924242424242
1975,0.11666342424242422
1976,0.05814872727272727
1977,0.03685953787878788
1978,0.043512992424242426
1979,0.04161245454545454
1980,0.06518626515151514
1981,0.0784746287878788
1982,0.03754456818181819
1983,0.17513317424242428
1984,0.037324363636363635
1985,0.04301493181818182
1986,0.02375535606060606
1987,0.04937624242424243
1988,0.05614251515151516
1989,0.05514699242424243
1990,0.019371060606060607
1991,0.022358628787878792
1992,0.06142706060606062
1993,0.011809356060606058
1994,0.11590735606060608
1995,0.03180965909090909
1996,0.12237060606060607
1997,0.25901163636363633
1998,0.24206024242424243
1999,0.017866424242424243
2000,0.019579840909090904
2001,0.04174602272727273
2002,0.06455917424242424
2003,0.019893901515151517
2004,0.04738917424242424
2005,0.03711051515151515
2006,0.11413478787878789
2007,0.0072415378787878786
2008,0.025844545454545457
2009,0.015653969696969697
2010,0.0786706287878788
2011,0.03961202272727273
2012,0.1085268106060606
2013,0.06810969696969697
2014,0.02754808333333333
2015,0.09048553787878788
2016,0.09471220454545454
2017,0.07611038636363636
2018,0.09103971969696968
2019,0.07261963636363634
2020,0.037751515151515154
2021,0.019088333333333332
