year,pdo_mean_south
1854,0.20420000000000002
1855,-0.38433333333333336
1856,0.23799999999999996
1857,-0.08266666666666665
1858,0.5159999999999999
1859,-0.022666666666666734
1860,-0.49675
1861,-0.33741666666666664
1862,0.03783333333333335
1863,0.5669166666666667
1864,0.8370833333333333
1865,0.63525
1866,0.5168333333333334
1867,0.42016666666666674
1868,0.2785
1869,0.061416666666666654
1870,-0.020749999999999994
1871,-0.10741666666666666
1872,-0.08458333333333334
1873,-0.5494166666666667
1874,-0.15808333333333335
1875,-0.19774999999999998
1876,-0.47924999999999995
1877,-0.6698333333333334
1878,0.6733333333333333
1879,0.33816666666666667
1880,-0.3505
1881,-0.006750000000000043
1882,-0.5351666666666667
1883,-0.5255833333333333
1884,-0.7210833333333334
1885,1.3658333333333335
1886,0.9488333333333335
1887,-0.09808333333333331
1888,-0.5928333333333332
1889,0.4877500000000001
1890,0.10124999999999999
1891,0.22541666666666668
1892,0.21266666666666667
1893,-0.8359166666666665
1894,-1.2825833333333334
1895,-1.0195
1896,0.14775
1897,0.5431666666666666
1898,0.1443333333333333
1899,-0.3016666666666667
1900,0.5751666666666667
1901,0.32250000000000006
1902,0.14808333333333337
1903,0.5163333333333333
1904,0.5539999999999999
1905,0.807
1906,1.0852499999999998
1907,0.3748333333333333
1908,1.0144166666666667
1909,0.23983333333333332
1910,-0.9068333333333332
1911,-0.438
1912,-0.29741666666666666
1913,0.015583333333333354
1914,0.5139166666666667
1915,0.11008333333333335
1916,-0.06858333333333334
1917,-1.47025
1918,-0.6144166666666666
1919,0.39399999999999996
1920,-0.3970833333333333
1921,-1.0178333333333334
1922,-0.7201666666666666
1923,-0.21975
1924,-0.13824999999999998
1925,-0.8072499999999999
1926,0.74375
1927,1.1801666666666668
1928,-0.008250000000000016
1929,-0.04783333333333331
1930,0.45258333333333334
1931,0.4955
1932,0.13908333333333323
1933,-0.7013333333333334
1934,-0.7110833333333332
1935,0.6905833333333332
1936,1.0076666666666667
1937,1.0428333333333335
1938,0.1616666666666667
1939,-0.012249999999999988
1940,0.5713333333333334
1941,2.2085000000000004
1942,1.8787500000000001
1943,-0.13033333333333333
1944,-0.6084999999999998
1945,-0.5269166666666667
1946,-0.07858333333333332
1947,0.031999999999999994
1948,0.5385833333333333
1949,-1.0705833333333332
1950,-1.0889999999999997
1951,-1.2251666666666667
1952,-0.8599166666666668
1953,-0.6425833333333332
1954,-0.37083333333333335
1955,-0.19133333333333333
1956,-1.8620833333333333
1957,-0.8084166666666667
1958,1.1068333333333333
1959,0.8059999999999999
1960,0.5766666666666667
1961,0.30616666666666664
1962,-0.97425
1963,-0.6369166666666667
1964,-0.3376666666666667
1965,-0.34325000000000006
1966,0.07175000000000002
1967,-0.2695
1968,-0.363
1969,-0.07741666666666665
1970,0.5280000000000001
1971,-0.91525
1972,-1.13875
1973,-0.43366666666666664
1974,-0.7525000000000001
1975,-0.16324999999999998
1976,-0.8831666666666669
1977,0.7204166666666668
1978,0.5499166666666666
1979,-0.014499999999999994
1980,0.79975
1981,0.815
1982,0.45483333333333326
1983,0.7095833333333333
1984,1.3860000000000001
1985,0.45716666666666667
1986,0.8926666666666666
1987,1.3553333333333333
1988,1.0435833333333335
1989,-0.23366666666666666
1990,-0.11108333333333331
1991,-0.6741666666666667
1992,0.13049999999999998
1993,1.05175
1994,1.2035
1995,-0.3291666666666666
1996,0.8915833333333333
1997,0.6420833333333333
1998,1.2251666666666667
1999,-0.9405
2000,-1.3890000000000002
2001,-0.6174999999999999
2002,-1.1320833333333333
2003,0.34650000000000003
2004,-0.005999999999999996
2005,-0.04699999999999999
2006,-0.3090833333333333
2007,-0.30591666666666667
2008,-0.8803333333333333
2009,-1.4095000000000002
2010,-0.11916666666666666
2011,-1.2635000000000003
2012,-1.6491666666666671
2013,-1.2066666666666668
2014,-0.48308333333333336
2015,0.8861666666666665
2016,0.9495000000000001
2017,0.08591666666666668
2018,-0.304
2019,-0.24499999999999997
2020,-0.2346666666666667
