year,pdo_mean_tropic
1854,0.20550000000000002
1855,-0.35633333333333334
1856,0.23791666666666667
1857,-0.16125
1858,0.5473333333333332
1859,0.07916666666666661
1860,-0.5325833333333333
1861,-0.35024999999999995
1862,-0.02224999999999999
1863,0.5435
1864,0.8460000000000001
1865,0.6451666666666667
1866,0.5296666666666667
1867,0.43116666666666664
1868,0.28474999999999995
1869,0.07333333333333335
1870,0.01175000000000001
1871,-0.12875
1872,-0.08083333333333334
1873,-0.5580833333333333
1874,-0.14991666666666667
1875,-0.17508333333333334
1876,-0.4360833333333334
1877,-0.7458333333333335
1878,0.5573333333333333
1879,0.51375
1880,-0.22016666666666665
1881,-0.27708333333333335
1882,-0.3780833333333333
1883,-0.5907499999999999
1884,-0.7636666666666666
1885,1.2402499999999999
1886,1.0995833333333334
1887,-0.0785
1888,-0.6746666666666666
1889,0.4719166666666666
1890,0.15783333333333335
1891,0.18366666666666667
1892,0.3103333333333333
1893,-0.7673333333333332
1894,-1.2252500000000002
1895,-1.1701666666666666
1896,0.16224999999999998
1897,0.5199166666666666
1898,0.19616666666666663
1899,-0.31683333333333336
1900,0.4360833333333334
1901,0.5111666666666667
1902,0.0011666666666666446
1903,0.5846666666666666
1904,0.5686666666666667
1905,0.6839999999999998
1906,1.0918333333333332
1907,0.44516666666666654
1908,1.0299166666666666
1909,0.2821666666666666
1910,-0.9253333333333332
1911,-0.4163333333333333
1912,-0.32675
1913,0.031666666666666676
1914,0.4546666666666666
1915,0.02441666666666668
1916,0.057666666666666734
1917,-1.3855833333333332
1918,-0.6314166666666666
1919,0.37341666666666656
1920,-0.39066666666666666
1921,-0.9746666666666667
1922,-0.7382499999999999
1923,-0.31250000000000006
1924,-0.10366666666666664
1925,-0.7970833333333333
1926,0.5465000000000001
1927,1.32725
1928,-0.03741666666666667
1929,-0.015749999999999976
1930,0.46574999999999994
1931,0.34341666666666665
1932,0.2944166666666666
1933,-0.5978333333333333
1934,-0.8697500000000001
1935,0.6721666666666666
1936,0.9546666666666668
1937,1.1705833333333333
1938,0.19825000000000004
1939,-0.0535
1940,0.4234166666666666
1941,2.1665833333333335
1942,2.01875
1943,-0.09241666666666669
1944,-0.5083333333333333
1945,-0.5984166666666667
1946,-0.08349999999999998
1947,-0.007333333333333354
1948,0.6101666666666667
1949,-1.0395
1950,-0.9578333333333333
1951,-1.3631666666666666
1952,-0.8174166666666668
1953,-0.7264999999999998
1954,-0.38999999999999996
1955,-0.07974999999999997
1956,-1.8703333333333332
1957,-0.9373333333333335
1958,1.00875
1959,0.9039999999999999
1960,0.5434166666666667
1961,0.38025
1962,-0.9094999999999999
1963,-0.6505
1964,-0.27491666666666664
1965,-0.45716666666666667
1966,0.07974999999999997
1967,-0.20433333333333334
1968,-0.42616666666666675
1969,-0.05491666666666667
1970,0.52175
1971,-0.8493333333333334
1972,-1.1070833333333332
1973,-0.4756666666666666
1974,-0.8159166666666668
1975,-0.06624999999999998
1976,-0.9640833333333334
1977,0.6749166666666667
1978,0.46008333333333334
1979,0.0005833333333333223
1980,0.7821666666666666
1981,0.7818333333333333
1982,0.6231666666666665
1983,0.5548333333333333
1984,1.3915
1985,0.5778333333333333
1986,0.7908333333333334
1987,1.3295000000000001
1988,1.1127500000000003
1989,-0.19758333333333333
1990,-0.10883333333333334
1991,-0.5789166666666666
1992,-0.0825833333333334
1993,1.01625
1994,1.2970833333333334
1995,-0.35908333333333325
1996,0.8230833333333334
1997,0.668
1998,1.3731666666666664
1999,-0.81475
2000,-1.4853333333333332
2001,-0.5959166666666668
2002,-1.0945833333333332
2003,0.2319166666666667
2004,-0.026749999999999993
2005,-0.09808333333333334
2006,-0.20724999999999996
2007,-0.307
2008,-0.7669166666666666
2009,-1.4565833333333333
2010,-0.19133333333333333
2011,-1.1992500000000004
2012,-1.5916666666666668
2013,-1.3044166666666668
2014,-0.60925
2015,0.9373333333333331
2016,0.8643333333333335
2017,0.18983333333333338
2018,-0.24274999999999994
2019,-0.30783333333333335
2020,-0.18760000000000004
