year,pdo_variance_south
1854,0.004061199999999999
1855,0.6480058787878789
1856,0.21363181818181812
1857,0.12839515151515152
1858,0.261344909090909
1859,0.2714853333333333
1860,0.02704020454545455
1861,0.04259135606060606
1862,0.10522633333333334
1863,0.0492808106060606
1864,0.06320917424242425
1865,0.009676568181818175
1866,0.01672669696969697
1867,0.018686696969696975
1868,0.01681590909090909
1869,0.054657901515151514
1870,0.06804802272727273
1871,0.019699901515151517
1872,0.005554628787878788
1873,0.27291499242424244
1874,0.0508977196969697
1875,0.012674204545454542
1876,0.1155276590909091
1877,0.5034477878787877
1878,0.23895406060606061
1879,0.6119468787878788
1880,0.6814557272727272
1881,0.9231269318181817
1882,1.1121410606060607
1883,0.17878426515151513
1884,0.33130717424242423
1885,0.18084942424242417
1886,0.2885450606060606
1887,0.10289826515151514
1888,0.5114748787878786
1889,0.32657347727272734
1890,0.0897156590909091
1891,0.08537444696969697
1892,0.10521387878787877
1893,0.25486208333333327
1894,0.07711571969696972
1895,0.7112226363636366
1896,0.16658929545454546
1897,0.45239324242424245
1898,0.14330060606060605
1899,0.08207369696969696
1900,0.9323974242424242
1901,0.33161245454545446
1902,0.472635356060606
1903,0.7397224242424243
1904,0.34348599999999996
1905,0.5737703636363636
1906,0.4118022045454545
1907,0.8790239696969696
1908,0.2731162651515151
1909,0.3291530606060606
1910,0.6396834242424242
1911,0.2541940000000001
1912,0.1518908106060606
1913,0.20157899242424246
1914,0.18997062878787876
1915,0.45307262878787874
1916,0.8755609924242425
1917,0.10680384090909088
1918,0.11779644696969699
1919,0.45803072727272726
1920,0.2289133560606061
1921,0.07018124242424241
1922,0.13828506060606063
1923,0.07397256818181819
1924,0.27202456818181814
1925,0.15378220454545455
1926,0.47343929545454544
1927,0.3105137878787879
1928,0.18501784090909093
1929,0.3777297878787879
1930,0.10680262878787881
1931,0.3335468181818182
1932,1.2292348106060607
1933,0.15358915151515148
1934,1.3552295378787882
1935,0.38275862878787875
1936,0.1772780606060606
1937,1.4130085151515155
1938,0.37140951515151516
1939,0.20408875000000004
1940,1.4261084242424245
1941,0.21034463636363643
1942,0.6436582045454546
1943,0.5210526060606061
1944,0.9254264545454544
1945,0.31409881060606065
1946,0.5367793560606061
1947,0.3741856363636364
1948,0.30081444696969695
1949,0.6491502651515152
1950,0.32570781818181815
1951,0.22817469696969697
1952,0.5457320833333333
1953,0.2487319015151515
1954,0.1393430606060606
1955,0.7035251515151515
1956,0.12183262878787883
1957,0.41178444696969696
1958,0.2486201515151515
1959,0.16808000000000006
1960,0.23391387878787875
1961,0.22513778787878788
1962,0.12666656818181823
1963,0.506255537878788
1964,0.46655896969696964
1965,0.1198176590909091
1966,0.3562134772727273
1967,0.12944627272727274
1968,0.16245109090909093
1969,0.3346966287878788
1970,0.47377345454545455
1971,0.1637425681818182
1972,0.5193245681818183
1973,0.455563696969697
1974,0.06585027272727272
1975,0.6345756590909091
1976,0.04369142424242423
1977,0.5361868106060608
1978,0.2735219015151515
1979,0.25281718181818186
1980,0.10102184090909092
1981,0.4366716363636364
1982,0.36488851515151505
1983,0.4460975378787879
1984,0.18722272727272718
1985,0.17152942424242426
1986,0.3500482424242425
1987,0.20903024242424245
1988,0.3477813560606062
1989,0.1824171515151515
1990,0.12243371969696967
1991,0.3840001515151515
1992,0.8228353636363637
1993,0.2749102045454546
1994,0.25761881818181814
1995,0.8069088787878788
1996,0.28145844696969696
1997,0.203984446969697
1998,0.5017543333333333
1999,0.21302645454545457
2000,0.31377090909090904
2001,0.20098136363636365
2002,0.14094226515151514
2003,0.543723
2004,0.17438836363636365
2005,0.34237145454545453
2006,0.4762233560606061
2007,0.11489171969696971
2008,0.43853387878787886
2009,0.049247727272727276
2010,0.13236251515151512
2011,0.09014663636363637
2012,0.2733430606060607
2013,0.27550024242424254
2014,0.631497356060606
2015,0.37828742424242406
2016,0.25687718181818175
2017,0.1825506287878788
2018,0.05443709090909091
2019,0.09906345454545452
2020,0.44523500000000005
