year,pdo_variance_tropic
1854,0.005403666666666665
1855,0.6725236969696969
1856,0.21369990151515147
1857,0.0499618409090909
1858,0.2673153333333334
1859,0.2252159696969697
1860,0.031835356060606064
1861,0.04091602272727271
1862,0.08612529545454545
1863,0.044207909090909076
1864,0.06126290909090908
1865,0.009423242424242433
1866,0.015851696969696953
1867,0.016846696969696973
1868,0.01632329545454546
1869,0.05645515151515151
1870,0.05914893181818182
1871,0.023373113636363633
1872,0.00548269696969697
1873,0.26361644696969705
1874,0.05259044696969697
1875,0.009826446969696966
1876,0.09844935606060608
1877,0.45936778787878796
1878,0.2149947878787879
1879,0.5838056590909091
1880,0.3408828787878788
1881,1.2186749924242426
1882,1.281148446969697
1883,0.17264674999999996
1884,0.25011624242424246
1885,0.2253858409090908
1886,0.2771291742424243
1887,0.1052820909090909
1888,0.3374376969696969
1889,0.31112590151515146
1890,0.1579808787878788
1891,0.0499438787878788
1892,0.10446806060606058
1893,0.2641582424242424
1894,0.046958386363636355
1895,0.6586810606060606
1896,0.1579525681818182
1897,0.48267953787878803
1898,0.09724433333333335
1899,0.08696287878787881
1900,0.9436631742424243
1901,0.2304185151515151
1902,0.5220394242424242
1903,0.7160915151515149
1904,0.3221313333333333
1905,0.6278456363636363
1906,0.41401360606060605
1907,0.9359556060606061
1908,0.2475440833333333
1909,0.29756469696969695
1910,0.6117484242424243
1911,0.26290006060606064
1912,0.14452547727272727
1913,0.19662678787878785
1914,0.23428424242424242
1915,0.2766771742424243
1916,1.0884758787878785
1917,0.27858481060606066
1918,0.12822208333333335
1919,0.5057335378787879
1920,0.2261186060606061
1921,0.08009387878787878
1922,0.15060638636363632
1923,0.09630845454545454
1924,0.27907642424242424
1925,0.1650099015151515
1926,0.39538209090909093
1927,0.27001238636363634
1928,0.15683753787878787
1929,0.40813020454545457
1930,0.09737529545454544
1931,0.15269208333333334
1932,1.4760453560606057
1933,0.1629794242424242
1934,1.1774940227272728
1935,0.3785746969696969
1936,0.1503540606060606
1937,1.317904446969697
1938,0.3394456590909092
1939,0.21845499999999998
1940,1.282454446969697
1941,0.2200426287878787
1942,0.5044472954545456
1943,0.5654668106060605
1944,0.9593920606060604
1945,0.3160228106060606
1946,0.5371597272727274
1947,0.3624571515151515
1948,0.20415742424242425
1949,0.6759073636363637
1950,0.1509699696969697
1951,0.318150696969697
1952,0.528917537878788
1953,0.2646531818181818
1954,0.12983290909090905
1955,0.5642792954545455
1956,0.1121358787878788
1957,0.30817060606060614
1958,0.2914825681818182
1959,0.1687214545454545
1960,0.24048226515151513
1961,0.20595020454545454
1962,0.1737633636363637
1963,0.5143104545454544
1964,0.3427646287878787
1965,0.24490851515151515
1966,0.3502134772727273
1967,0.0626089696969697
1968,0.2071616060606061
1969,0.3146266287878787
1970,0.48873765909090916
1971,0.15680933333333333
1972,0.4921660833333334
1973,0.5471389696969697
1974,0.07101008333333335
1975,0.44235693181818186
1976,0.07827226515151514
1977,0.6412835378787878
1978,0.28410590151515147
1979,0.2826479015151515
1980,0.09628233333333336
1981,0.40623669696969694
1982,0.31677578787878774
1983,0.5493157878787878
1984,0.1852217272727272
1985,0.15770760606060608
1986,0.4588617878787879
1987,0.2216791818181818
1988,0.3145562045454545
1989,0.21722444696969695
1990,0.12295633333333332
1991,0.3919059015151515
1992,0.7788820833333333
1993,0.23029638636363634
1994,0.25990735606060605
1995,0.7270395378787878
1996,0.18989262878787877
1997,0.264514
1998,0.3024656060606061
1999,0.19028856818181816
2000,0.25068133333333337
2001,0.1971297196969697
2002,0.14669681060606063
2003,0.7611500833333334
2004,0.16316638636363637
2005,0.26044771969696967
2006,0.6131243863636363
2007,0.11474999999999999
2008,0.4145617196969697
2009,0.037481174242424246
2010,0.20286278787878792
2011,0.18489202272727276
2012,0.31529715151515153
2013,0.23049081060606066
2014,0.3988460227272727
2015,0.3601186060606059
2016,0.24831406060606065
2017,0.3418548787878788
2018,0.07085765909090909
2019,0.0804990606060606
2020,0.4179171555555555
